phrasal verbs (part 2)/фразовые глаголы (часть 2)|Одна из самых непонятных тем в английском - фразовые глаголы. Обычно это обычные глаголы, но с дополнительным предлогом. Этот предлог может полностью изменить значение глагола, поэтому запоминание таких слов не всегда просто. Часть 2.|4
cut off|отрезать, отрубать|She {cut off} all her hair|Она {отрезала} все свои волосы
end up|заканчиваться чем-либо|How does the story {end up}?|Как {заканчивается} история?
figure out|выяснять, понимать|I can't {figure out} why he quit his job|Я не могу {понять}, почему он бросил работу
get on|ладить с|I don't {get on} with his rude friends|Я не {лажу} с его грубыми друзьями
get out|убираться (грубо)|{Get out} of my car!|{Убирайся} из моей машины!
get over|справляться, преодолевать трудности|We had to {get over} many difficulties|Нам пришлось {преодолеть} множество трудностей
give up|сдаваться, прекращать|Don't {give up} so early|{Не сдавайтесь} так рано
grow up|вырастать, взрослеть|All plants like to {grow up} towards the sunlight|Все растения любят {расти} по направлению к солнечному свету
hang up|вешать трубку|I said goodbye and {hung up}|Я попрощался и {повесил трубку}
keep up|продолжать|{Keep up} the struggle till you succeed|{Продолжайте} бороться до тех пор, пока не добьетесь успеха
let in|впускать|Open the window and {let in} some fresh air|Откройте окно и {впустите} свежий воздух
lie down|лечь, отдохнуть|Why don't you {lie down} on the sofa for a while?|Почему бы тебе не {полежать} немного на диване?
look for|искать|He started {looking for} a new job right after he was laid off|Он начал {искать} новую работу сразу после увольнения
look over|просматривать|Will you {look over} his album?|Вы {посмотрите} его альбом?
pick up|поднимать|Can you {pick up} the pen for me?|Вы можете {поднять} мою ручку?
point out|указать, обратить внимание|I should {point out} that not one of these paintings is original|Следует {отметить}, что ни одна из этих картин не является оригинальной
put on|надеть|He {put on} his best suit for the wedding|Он {надел} свой лучший костюм на свадьбу
run into|столкнуться, встретиться|Guess who I {ran into} at the bar?|Угадайте, кого я {встретил} в баре?
run off|сбежать, убежать|How did they manage to {run off}?|Как им удалось {убежать}?
shut down|отключить, закрыть|they decided to {shut down} the factory|они решили {закрыть} фабрику
turn into|превращаться|The water {turned into} ice|Вода {превратилась} в лед
take back|вернуть, забрать|I {take back} what i said|Я {беру свои слова обратно}
